Empresa,Pais,Sitio_Web,Tipo_Institucion,Bloque_Nicho,Nombre_Contacto,Cargo,Email,Telefono,LinkedIn,Fuente,Confianza,Notas
Fundación Universitaria Autónoma de las Américas,Colombia,uam.edu.co,Universidad privada (ahora Institución Universitaria Visión de las Américas),A - Educación virtual y a distancia,Juliana Arango,Directora de Comunicaciones y Mercadeo,,+57 4 4114848 ext. 1290-1292,,https://rocketreach.co/institucion-universitaria-vision-de-las-americas-marketing-department_b6a5f478c87e9c01,Contacto nombrado,"La institución opera actualmente bajo el nombre ""Institución Universitaria Visión de las Américas"" (mismo dominio uam.edu.co); no se confirmó email directo ni LinkedIn."
Universidad ECCI,Colombia,ecci.edu.co,Universidad privada,B - Universidad privada presencial,Diana Mireya Almanza Aguilar,Directora Comercial,,,,Búsqueda web (perfil profesional asociado a Universidad ECCI),Contacto nombrado,No se pudo confirmar URL directa de LinkedIn ni email; verificar antes de outreach.
Universidad Cooperativa de Colombia,Colombia,ucc.edu.co,Universidad privada multicampus,B - Universidad privada presencial,,,,018000420101,,https://ucc.edu.co/aspirante,Sin contacto público,Institución multicampus sin director nacional de admisiones/mercadeo identificado públicamente; solo línea nacional gratuita y contactos de admisiones por sede (ej. Apartadó).
Universidad Central,Colombia,ucentral.edu.co,Universidad privada,B - Universidad privada presencial,,,admision@ucentral.edu.co,,,https://www.ucentral.edu.co/admisiones/admisiones,Email institucional,"Vacante activa de ""Director(a) de Mercadeo y Admisiones"" hallada en LinkedIn pero sin titular confirmado."
Universidad EAN,Colombia,universidadean.edu.co,Universidad privada y escuela de negocios,B - Universidad privada presencial,Jhon Morales Grajales,Coordinador de Mercadeo,,,,Búsqueda web (LinkedIn - perfil asociado a Universidad EAN),Contacto nombrado,"Cargo de coordinación, no de dirección; no se confirmó URL directa de LinkedIn."
Universidad Católica de Colombia,Colombia,ucatolica.edu.co,Universidad privada,B - Universidad privada presencial,,,admisiones@ucatolica.edu.co,(601) 4433700 ext. 1402/1403,,https://www.ucatolica.edu.co/portal/admisiones/,Email institucional,Paola Andrea Vega Pérez aparece en mercadeo/comunicación pero sin cargo directivo confirmado.
Universidad Católica Luis Amigó,Colombia,funlam.edu.co,Universidad privada,B - Universidad privada presencial,Gladis Elena Gallo Gómez,Jefe de Admisiones y Registro Académico,,4487666,,https://www.funlam.edu.co/modules/xdirectory/viewcat.php?cid=40,Contacto nombrado,Nombre y cargo tomados del directorio institucional público; email/LinkedIn no confirmados (mercadeo@amigo.edu.co disponible como alterno institucional).
Universidad de San Buenaventura,Colombia,usb.edu.co,Universidad privada multicampus,B - Universidad privada presencial,Natalia Chanagá Sierra,Directora de Comunicaciones y Mercadeo (sede Bogotá),,,,https://rocketreach.co/universidad-de-san-buenaventura-bogota-profile_b44717cbfaeadabf,Contacto nombrado,Cargo corresponde a la sede Bogotá; sede Medellín publicó vacante de Director(a) de Mercadeo y Alianzas Estratégicas sin titular confirmado.
Universidad Antonio Nariño,Colombia,uan.edu.co,Universidad privada multicampus,B - Universidad privada presencial,Javier Mauricio Melo,Director Nacional de Admisiones,,,,https://rocketreach.co/javier-mauricio-melo-email_152028797,Contacto nombrado,Nombre y cargo hallados en RocketReach; email directo no verificado públicamente.
Universidad La Gran Colombia,Colombia,ugc.edu.co,Universidad privada,B - Universidad privada presencial,,,admisiones@ugc.edu.co,3124229515,,https://www.ugc.edu.co/bogota/admisiones,Email institucional,"Directorio institucional agrupa ""Admisiones Mercadeo y Comunicaciones"" pero sin nombre de titular confirmado."
Universidad Libre,Colombia,unilibre.edu.co,Universidad privada multicampus,B - Universidad privada presencial,Diana Coll,Director Nacional de Marketing (sede Cartagena),,,,https://www.zoominfo.com/p/Diana-Coll/2850207857,Contacto nombrado,Rol identificado para la sede Cartagena; no se confirmó si el rol es a nivel nacional único ni email/LinkedIn directos.
Universidad Piloto de Colombia,Colombia,unipiloto.edu.co,Universidad privada,B - Universidad privada presencial,,,admisiones@unipiloto.edu.co,310 383 1353,,https://www.unipiloto.edu.co/admisiones/aspirantes/,Email institucional,Sin nombre público de directivo de admisiones/mercadeo.
Universidad de América,Colombia,uamerica.edu.co,Universidad privada,B - Universidad privada presencial,Diana Pineda Muñoz,Directora Oficina de Mercadeo y Admisiones,,(601) 3376680 ext. 2080-2083,,https://www.uamerica.edu.co/admisiones/admisiones-contacto/,Contacto nombrado,Nombre y cargo publicados en la página oficial de contacto de admisiones; email directo y LinkedIn no confirmados (pregrados@uamerica.edu.co disponible como alterno institucional).
Fundación Universitaria Los Libertadores,Colombia,ulibertadores.edu.co,Institución universitaria,B - Universidad privada presencial,,,admisiones@libertadores.edu.co,,,https://www.ulibertadores.edu.co/admision/,Email institucional,Existe Gerencia Comercial y de Mercadeo pero sin nombre de titular confirmado públicamente.
Fundación Universitaria Konrad Lorenz,Colombia,konradlorenz.edu.co,Institución universitaria,B - Universidad privada presencial,,,admisiones@konradlorenz.edu.co,+57 601 347 2311,,https://www.konradlorenz.edu.co/admisiones/,Email institucional,Sin nombre público de directivo de admisiones/mercadeo.
Universidad El Bosque,Colombia,unbosque.edu.co,Universidad privada,B - Universidad privada presencial,,,gestionadmisiones@unbosque.edu.co,(601) 648 9000 ext. 1170,,https://www.unbosque.edu.co/contact,Email institucional,Sin nombre público de directivo de admisiones/mercadeo.
Universidad Sergio Arboleda,Colombia,usergioarboleda.edu.co,Universidad privada,B - Universidad privada presencial,,,coordinacion.admisiones@usa.edu.co,(1) 325 8181,,https://www.usergioarboleda.edu.co/admisiones,Email institucional,"Existe ""Departamento de Mercadeo y Admisiones"" pero sin nombre de titular confirmado."
Universidad Agustiniana,Colombia,uniagustiniana.edu.co,Universidad privada,B - Universidad privada presencial,,,mercadeo@uniagustiniana.edu.co,(601) 4193200 ext. 1021,,https://www.uniagustiniana.edu.co/directorio-institucional/,Email institucional,Directorio institucional confirma existencia del cargo de Director de Mercadeo pero sin nombre publicado.
Universidad Autónoma Latinoamericana (UNAULA),Colombia,unaula.edu.co,Universidad privada,B - Universidad privada presencial,,,procint.admisiones@unaula.edu.co,+57 604 511 2199,,https://www.unaula.edu.co/Contactenos,Email institucional,Sin nombre público de directivo de admisiones/mercadeo.
Corporación Universitaria Lasallista,Colombia,lasallista.edu.co,Institución universitaria,B - Universidad privada presencial,Claudia Patricia Sierra Castaño,Directora de Gestión de Admisiones y Registro,,,,https://site.lasallista.edu.co/conozca-al-equipo-de-admisiones-y-registro-academico/,Contacto nombrado,Publicado en la página oficial del equipo de Admisiones y Registro. También identificada Natalia Londoño Gil como Directora de Comunicaciones y Mercadeo (alterna).
Universidad de Medellín,Colombia,udemedellin.edu.co,Universidad privada,B - Universidad privada presencial,,,admisiones-registro@udemedellin.edu.co,+57 (604) 590 4500,,https://admisiones.udemedellin.edu.co/,Email institucional,Sin nombre público de directivo de admisiones/mercadeo.
Universidad CES,Colombia,ces.edu.co,Universidad privada del área de la salud,B - Universidad privada presencial,,,admisiones@ces.edu.co,4440555 ext. 1481/1303,,https://www.ces.edu.co/contacto-3/,Email institucional,Sin nombre público de directivo de admisiones/mercadeo.
Universidad Pontificia Bolivariana,Colombia,upb.edu.co,Universidad privada multicampus,B - Universidad privada presencial,,,,,,https://www.upb.edu.co/es/directivos,Sin contacto público,"Existe página de ""Directivos"" pero no se confirmó nombre específico para admisiones/mercadeo ni email general de admisiones (solo canales por programa/sede)."
Universidad EIA,Colombia,eia.edu.co,Universidad privada de ingeniería,B - Universidad privada presencial,,,admisiones@eia.edu.co,(604) 354 9090,,https://www.eia.edu.co/admisiones-eia/,Email institucional,Transparencia institucional lista cargos de Directora de Admisiones y Registro y Directora de Mercadeo pero sin nombres publicados.
Universidad Autónoma de Bucaramanga (UNAB),Colombia,unab.edu.co,Universidad privada,B - Universidad privada presencial,,,,(57) (607) 643 6111,,https://unab.edu.co/contactanos/,Sin contacto público,"Se hallaron menciones históricas de directores de mercadeo institucional (incl. posible Mónica Quintero, 2023) sin confirmación vigente ni email directo."
Universidad Santiago de Cali,Colombia,usc.edu.co,Universidad privada,B - Universidad privada presencial,,,,(+57 2) 518 3003,,https://admisionesusc.com.co/,Sin contacto público,Solo se hallaron líneas telefónicas de inscripciones/admisiones; sin nombre de directivo ni email institucional público confirmado.
Universidad Autónoma de Occidente,Colombia,uao.edu.co,Universidad privada,B - Universidad privada presencial,,,admisiones@uao.edu.co,(+57) 602 318 8000,,https://www.uao.edu.co/contacto/,Email institucional,Sin nombre público de directivo de admisiones/mercadeo.
Universidad Icesi,Colombia,icesi.edu.co,Universidad privada,B - Universidad privada presencial,,,admisiones@icesi.edu.co,+(602) 555 2334,,https://www.icesi.edu.co/contacto/admisiones-y-registro/,Email institucional,Sin nombre público de directivo de admisiones/mercadeo.
Universidad Simón Bolívar,Colombia,unisimon.edu.co,Universidad privada,B - Universidad privada presencial,,,admisiones.usb@unisimon.edu.co,3176651724,,https://www.unisimon.edu.co/,Email institucional,Sin nombre público de directivo de admisiones/mercadeo.
Universidad Autónoma del Caribe,Colombia,uac.edu.co,Universidad privada,B - Universidad privada presencial,,,david.cardenas19@uac.edu.co,+57 (605) 3853400,,https://www.uac.edu.co/canales-atencion/admisiones-y-registro/,Email institucional,Email de contacto de admisiones publicado por dependencia (primer ingreso/reingreso/transferencia); no se confirmó cargo directivo con nombre completo.
Universidad de Ibagué,Colombia,unibague.edu.co,Universidad privada,B - Universidad privada presencial,Johanna Saavedra Quevedo,Directora de Mercadeo y Comunicaciones,,,,https://rocketreach.co/universidad-de-ibague-marketing-department_b5d59facf42e3a53,Contacto nombrado,Universidad recientemente formalizó la Dirección de Mercadeo como dependencia independiente; email directo y LinkedIn no confirmados.
Universidad Metropolitana de Barranquilla,Colombia,unimetro.edu.co,Universidad privada del área de la salud,B - Universidad privada presencial,,,,PBX (57) (605) 3612001,,https://unimetro.edu.co/direccion/,Sin contacto público,No se localizó nombre de directivo de admisiones/mercadeo ni email institucional público específico.
Universidad Tecnológica de Bolívar,Colombia,utb.edu.co,Universidad privada,B - Universidad privada presencial,,,,,,https://www.utb.edu.co/la-utb/directivas/direccion-de-mercadeo-y-comunicaciones/,Sin contacto público,"Existe ""Dirección de Mercadeo y Comunicaciones"" confirmada pero sin nombre de titular publicado ni email institucional hallado."
Corporación Universitaria del Caribe (CECAR),Colombia,cecar.edu.co,Universidad privada,B - Universidad privada presencial,,,,,,https://cecar.edu.co/,Sin contacto público,"Se identificó vacante activa para un cargo comercial, sin titular ni email institucional público confirmado."
Universidad de Boyacá,Colombia,uniboyaca.edu.co,Universidad privada,B - Universidad privada presencial,,,,,,https://uniboyaca.edu.co/index.php/es/admisiones,Sin contacto público,"Existe ""Oficina de Comunicaciones y Mercadeo"" pero sin nombre de titular ni email institucional público confirmado."
Universidad CNCI,Mexico,https://cnci.edu.mx,"Universidad privada en línea (bachillerato, licenciatura, maestría)",A - Universidades privadas virtuales/a distancia,Carmen Bello,Coordinadora de Admisiones,,01 800 716 9945,https://mx.linkedin.com/in/carmen-bello-a01a2164,https://cnci.edu.mx/contacto/ ; https://mx.linkedin.com/in/carmen-bello-a01a2164,Contacto nombrado,"Top 3 universidad en línea privada de México (+20,000 alumnos); se localizó en LinkedIn a Carmen Bello con cargo de Coordinadora de Admisiones en Universidad CNCI; no se confirmó vigencia actual del puesto, validar antes de outreach."
UNIR México,Mexico,https://mexico.unir.net,Universidad privada 100% en línea (parte de Grupo Proeduca/UNIR España),A - Universidades privadas virtuales/a distancia,,,inscripciones@unirmexico.mx,,,https://mexico.unir.net/estudia-con-nosotros/como-inscribirse/,Email institucional,Filial mexicana de UNIR (España); correo de inscripciones publicado en sitio oficial. No se confirmó titular actual de Dirección Comercial/Admisiones México.
IEU Universidad,Mexico,https://ieu.edu.mx,"Universidad privada en línea y presencial (Puebla, Veracruz, Villahermosa)",A - Universidades privadas virtuales/a distancia,Alejandro Camacho,Director de Vinculación e Internacionalización,,,https://www.linkedin.com/in/alejandro-camacho-4b463023a/,LinkedIn,Contacto nombrado,"Rol adyacente (vinculación/convenios), no es titular exacto de admisiones/comercial; útil como punto de entrada, validar con contacto de admisiones antes de outreach."
Universidad ICEL,Mexico,https://icel.edu.mx,Universidad privada en línea (Campus Virtual) y presencial,A - Universidades privadas virtuales/a distancia,César Barraza,Rector,,,https://mx.linkedin.com/in/c%C3%A9sarbarraza,LinkedIn,Contacto nombrado,"Institución de tamaño medio (+100,000 egresados históricos); el Rector es la máxima autoridad y probable decisor de procesos comerciales."
On Aliat (Aliat Universidades - red en línea),Mexico,https://www.onaliat.mx,"Red universitaria privada con oferta en línea y presencial (7 instituciones, 28 campus, 13 estados)",A - Universidades privadas virtuales/a distancia,Patricia Garza Berlanga,"Gerente de Admisiones, Red Aliat Universidades",,,https://www.linkedin.com/in/patricia-garza-berlanga-70226255/,LinkedIn,Contacto nombrado,Contacto a nivel de red Aliat Universidades (que también opera ETAC y UVG de este listado); rol exactamente alineado al buyer persona.
IEXE Universidad,Mexico,https://www.iexe.edu.mx,"Universidad privada 100% en línea (psicología, educación, negocios)",A - Universidades privadas virtuales/a distancia,,,admisiones@iexe.edu.mx,,,https://www.iexe.edu.mx/admisiones/,Email institucional,Correo de admisiones publicado en sitio oficial; no se localizó nombre público de directivo.
Universidad Cuauhtémoc Campus Guadalajara,Mexico,https://www.ucg.edu.mx,"Universidad privada presencial (red multicampus: Aguascalientes, Guadalajara, Puebla, Querétaro, San Luis Potosí)",B - Universidades privadas presenciales,Javier Cantalapiedra Malpica,Rector,jcantalapiedra@ucg.edu.mx,(33) 3682 0550,https://www.linkedin.com/in/ucguadalajara/,https://www.ucg.edu.mx/conocenos/directorio ; https://www.zoominfo.com/p/Javier-Cantalapiedra/7650508762,Contacto nombrado,"Rector nombrado en directorio oficial del sitio, con correo y teléfono publicados. También existe un rol de Director Comercial mencionado en la página institucional de LinkedIn del campus, pero sin nombre público asociado; validar directamente."
Universidad Insurgentes (UIN),Mexico,https://universidadinsurgentes.edu.mx,"Universidad privada presencial e híbrida (25 campus en CDMX, Edomex y Guanajuato)",B - Universidades privadas presenciales,,,,55 5512 1212,,https://universidadinsurgentes.edu.mx/contacto/,Sin contacto público,"Institución de tamaño considerable (+23,000 alumnos); se localizó línea general de Asesores Educativos (55 5512 1212, también WhatsApp 56 1134 1564) pero no nombre de directivo de admisiones/comercial ni correo departamental."
Universidad Latina (ULA) Campus Cuernavaca,Mexico,https://ula.edu.mx,Universidad privada presencial,B - Universidades privadas presenciales,,,dudasadmision@ula.edu.mx,777 228 8200 ext. 8571,,https://ula.edu.mx/contactanos ; https://ula.edu.mx/admisiones,Email institucional,"Correo de admisiones publicado en sitio oficial de ULA (aplica a la red, incluye campus Cuernavaca); teléfono específico de admisiones del campus también localizado. No se confirmó titular de Dirección Comercial/Admisiones del campus."
Universidad Justo Sierra,Mexico,https://universidad-justosierra.edu.mx,"Universidad privada presencial (CDMX, multicampus)",B - Universidades privadas presenciales,,,,55 3827 6604,,https://universidad-justosierra.edu.mx/,Sin contacto público,Sólo se localizó teléfono general de admisiones del plantel Lázaro Cárdenas; sin nombre ni correo verificado.
Universidad Interamericana para el Desarrollo (UNID),Mexico,https://www.unid.edu.mx,"Universidad privada multisede (50 sedes en 24 estados), modalidades presencial/en línea",B - Universidades privadas presenciales,,,contacto@unid.mx,01 800 000 UNID,,https://universidadesdemexico.mx/universidades/universidad-interamericana-para-el-desarrollo ; https://www.unid.edu.mx,Email institucional,Correo institucional general y línea nacional publicados en sitio oficial; también existe correo específico para modalidad virtual (sevirtual@unid.mx). Red respaldada por Consorcio Educativo Anáhuac; no se localizó nombre público de directivo de admisiones/comercial.
Universidad ETAC,Mexico,https://www.etac.edu.mx,"Universidad privada presencial (5 campus en Edomex, CDMX e Hidalgo) y en línea",B - Universidades privadas presenciales,,,tlatelolco@universidadetac.edu.mx,01 800 112 5428,,https://www.etac.edu.mx/agenda-cita,Email institucional,Correo de admisiones específico del campus Tlatelolco (no se localizó correo corporativo único para los 5 campus); línea nacional de informes también disponible. Parte de la red Aliat Universidades; contacto de red disponible en fila 'On Aliat' (Patricia Garza Berlanga).
Universidad del Valle de Grijalva (UVG),Mexico,https://www.uvg.edu.mx,"Universidad privada presencial (Chiapas, Tabasco, Campeche, Veracruz), parte de red Aliat",B - Universidades privadas presenciales,,,tuxtla@uvg.edu.mx,800 1125 428,,https://www.uvg.edu.mx/campus,Email institucional,Correo de admisiones del campus Tuxtla Gutiérrez (no se localizó correo corporativo único para todos los campus). Parte de la red Aliat Universidades; contacto de red disponible en fila 'On Aliat' (Patricia Garza Berlanga).
Universidad Vasco de Quiroga,Mexico,https://www.uvaq.edu.mx,"Universidad privada presencial (Morelia, Michoacán)",B - Universidades privadas presenciales,,,informacion@uvaq.edu.mx,(443) 113 11 00,,https://www.uvaq.edu.mx/admisiones/,Email institucional,Correo y teléfono institucional publicados en sitio oficial; no se localizó nombre público de directivo de admisiones/comercial.
Centro de Estudios Universitarios Xochicalco,Mexico,https://www.xochicalco.edu.mx,"Universidad privada presencial (Tijuana, Ensenada, Mexicali - Baja California)",B - Universidades privadas presenciales,,,info@xochicalco.edu.mx,01 (800) 788-0692,,https://web.xochicalco.edu.mx/contactenos,Email institucional,"Correo institucional general publicado en sitio oficial; el campus Cuernavaca (bajo razón social relacionada CEUCX) tiene correo propio contacto@ceucx.edu.mx. Se identificó una vacante de Coordinador(a) de Marketing en campus Tijuana vía LinkedIn, sin nombre público asociado."
UNIVDEP (Universidad del Desarrollo Empresarial y Pedagógico),Mexico,https://www.univdep.edu.mx,"Universidad privada presencial (CDMX, 2 campus)",B - Universidades privadas presenciales,Jorge Enrique Pérez,Director de Posgrado,jorge.perez@univdep.edu.mx,(55) 5688 8315,,https://www.univdep.edu.mx/Contacto ; https://www.univdep.edu.mx/pdf/Gacetas/Gaceta_UNIVDEP_Numero_3.pdf,Contacto nombrado,"Rol adyacente (posgrado), no es titular exacto de admisiones/comercial; validar antes de outreach. Correo general de admisiones también disponible: aspirantes@univdep.edu.mx."
Grupo CEDVA,Mexico,https://www.grupocedva.com,"Instituto privado de formación para el trabajo (mecánica automotriz, gastronomía, belleza, bachillerato tecnológico; 40 planteles)",C - Institutos técnicos / formación para el trabajo,,,,800 890 0855,,https://www.grupocedva.com/,Sin contacto público,"Grupo educativo con 40 planteles y varias escuelas (ENG gastronomía, IMBI belleza); se localizó línea nacional de inscripciones (800 890 0855 / 55 5562 5613) pero no correo ni nombre de contacto comercial/admisiones."
Onmex Universidad,Mexico,https://onmex.mx,"Instituto privado de carreras técnicas y profesionales cortas 100% en línea (2-3 años, validez SEP)",C - Institutos técnicos / formación para el trabajo,,,,,,https://onmex.mx/contactanos/,Sin contacto público,Modelo de inscripción 100% en línea vía asesores (formulario de contacto); no se localizó correo ni nombre público de directivo.
Instituto de Carreras Técnicas y Preparatoria (ICT),Mexico,https://www.institutoict.com.mx,Instituto técnico privado y preparatoria,C - Institutos técnicos / formación para el trabajo,,,contacto@institutoict.com.mx,(662) 598-5500,,https://www.institutoict.com.mx/contactanos/,Email institucional,Correo y teléfono institucional publicados en sitio oficial (plantel Hermosillo); sin nombre público de directivo de admisiones/comercial.
EP de México,Mexico,https://www.epdemexico.lat,"Instituto privado de carreras técnicas/profesionales, multicampus",C - Institutos técnicos / formación para el trabajo,,,admissions.p@epdemexico.edu.mx,,,https://www.epdemexico.lat/contacto,Email institucional,Correo de admisiones localizado (admissions.p@epdemexico.edu.mx); también existe correo administrativo general (d.administrativa@epdemexico.edu.mx). Sin nombre público de directivo.
ITAEM,Mexico,https://www.itaem.mx,Instituto técnico privado (Técnico en Enfermería y otras carreras técnicas),C - Institutos técnicos / formación para el trabajo,,,informes@itaem.mx,,,https://www.itaem.mx/contacto.aspx,Email institucional,Correo de informes/inscripción publicado en sitio oficial; inscripción gestionada también vía WhatsApp. Sin nombre público de directivo de admisiones/comercial.
Harmon Hall,Mexico,https://www.harmonhall.com,"Academia de idiomas (inglés), franquicia nacional",D - Academias de idiomas,,,atencion.alumnos-hhonline@harmonhall.edu.mx,800 422 5292,,https://www.harmonhall.com/contacto ; https://lll.harmonhall.com/pages/informes,Email institucional,"Correo de atención a alumnos (modalidad online) y línea nacional publicados; cadena nacional de academias de inglés, no se localizó correo corporativo único de admisiones ni nombre público de directivo comercial a nivel nacional."
Quick Learning,Mexico,https://www.quicklearning.com,"Academia de idiomas (inglés), franquicia nacional",D - Academias de idiomas,,,,55 5803 5000,,https://www.quicklearning.com/index.php/contacto,Sin contacto público,"Cadena nacional de academias de inglés; se localizó línea telefónica general (55 5803 5000, también WhatsApp) pero no correo ni nombre público de directivo comercial/admisiones a nivel nacional."
The Anglo Academy,Mexico,https://theangloacademy.mx,Academia de inglés presencial (30+ años de experiencia),D - Academias de idiomas,,,,55 3000 1850,,https://theangloacademy.mx/contacto/,Sin contacto público,"Se localizó línea telefónica general (55 3000 1850, también 800-11-ANGLO) y un correo específico para becarios del programa UAM (becarios.uam@theanglo.mx, no aplica como contacto general); sin nombre público de directivo de admisiones/comercial."
Linguatec,Mexico,https://www.linguatec.mx,"Academia de idiomas (inglés, mandarín, italiano, portugués, japonés, alemán, francés; 15+ sedes)",D - Academias de idiomas,,,info@linguatec.com.mx,33 1990 8290,,https://www.linguatec.com.mx/Contacto/,Email institucional,Correo y teléfono institucional publicados en sitio oficial; sin nombre público de directivo de admisiones/comercial.
IMAC Inglés Total,Mexico,https://www.imacinglestotal.com,"Academia de inglés, modelo de franquicia (zona metropolitana de Guadalajara, 40+ años)",D - Academias de idiomas,,,,,,https://www.imacinglestotal.com/,Sin contacto público,Sin nombre público de directivo de admisiones/comercial ni correo departamental localizado.
Kodemia,Mexico,https://kodemia.mx,"Bootcamp de programación (JavaScript full stack, UI/UX)",E - Edtech y bootcamps,,,info@kodemia.mx,,,https://kodemia.mx/,Email institucional,Correo institucional general publicado en sitio oficial; sin nombre público de directivo comercial/admisiones.
Ironhack México,Mexico,https://www.ironhack.com,Bootcamp internacional de programación/UX/Data con campus en CDMX,E - Edtech y bootcamps,,,mexico@ironhack.com,,,https://www.ironhack.com/mx,Email institucional,Correo institucional de la operación México publicado en fuentes secundarias; sin nombre público de directivo comercial/admisiones para México.
Le Wagon México,Mexico,https://www.lewagon.com/mexico,Bootcamp internacional de programación con operación en México,E - Edtech y bootcamps,,,,,,https://www.lewagon.com/mexico,Sin contacto público,Sin nombre público de directivo comercial/admisiones para la operación México; solo formularios de contacto/aplicación disponibles.
4Geeks Academy México,Mexico,https://4geeksacademy.com/en/location/mexicocity-mexico,"Bootcamp internacional (desarrollo, datos, IA) con campus en CDMX",E - Edtech y bootcamps,,,,+1 (786) 416-6640,,https://4geeks.com/en/contact-us,Sin contacto público,Sólo se localizó línea telefónica internacional general (no específica de México); sin nombre público de directivo comercial/admisiones para la operación México.
ASPIC Escuela de Gastronomía,Mexico,https://aspic.edu.mx,Escuela especializada de alto ticket - gastronomía estilo europeo (21+ años),F - Escuelas especializadas de alto ticket,,,,7035 7674,,https://aspic.edu.mx/nosotros/,Sin contacto público,Sólo se localizó teléfono general; sin correo ni nombre público de directivo comercial/admisiones.
Instituto Culinario de México (ICUM),Mexico,https://icum.edu.mx,Escuela de gastronomía de alto ticket,F - Escuelas especializadas de alto ticket,,,admisiones@icum.edu.mx,(222) 266-1690,,https://icum.edu.mx/,Email institucional,Correo de admisiones del campus Puebla; el campus Monterrey tiene correo propio (admisiones.monterrey@icum.edu.mx). Sin nombre público de directivo comercial/admisiones.
iFashion Escuela de Diseño de Modas,Mexico,https://www.ifashion.edu.mx,"Escuela especializada de alto ticket - diseño de modas (CDMX, 30 años, RVOE SEP)",F - Escuelas especializadas de alto ticket,,,escolar@ifashion.edu.mx,55 4328 0091,,https://www.ifashion.edu.mx/,Email institucional,Correo y teléfono institucional publicados en fuentes secundarias; sin nombre público de directivo comercial/admisiones.
Aerocapacitación Escuela de Aviación,Mexico,https://aerocapacitacion.com,"Escuela de aviación de alto ticket (piloto, sobrecargo, TMC1)",F - Escuelas especializadas de alto ticket,,,admisiones@aerocapacitacion.com,+52 411 140 5379,,https://aerocapacitacion.com/admisiones/,Email institucional,Correo de admisiones publicado en sitio oficial; sin nombre público de directivo comercial.
Instituto Cosmetológico de México (ICMEX),Mexico,https://www.icmex.edu.mx,Escuela de belleza/cosmetología de alto ticket,F - Escuelas especializadas de alto ticket,,,,993 131 4088,,https://icosmetologico.com/contacto,Sin contacto público,Sólo se localizó teléfono de recepción del campus Villahermosa; sin correo ni nombre público de directivo comercial/admisiones.
